chrom	start	end	num	list	SRR1665054.sam_MENA_rubella.bed	SRR1665063.sam_MENA_rubella.bed	SRR1665070.sam_MENA_rubella.bed	SRR6382384.sam_MENA_rubella.bed	SRR6382386.sam_MENA_rubella.bed	SRR6382397.sam_MENA_rubella.bed	SRR8904463.sam_MENA_rubella.bed	SRR8904466.sam_MENA_rubella.bed
jlSCF_10	472125	576033	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_10	576033	729537	3	1,7,8	1	0	0	0	0	0	1	1
jlSCF_10	729537	804924	6	1,2,5,6,7,8	1	1	0	0	1	1	1	1
jlSCF_10	804924	909803	5	1,2,5,6,7	1	1	0	0	1	1	1	0
jlSCF_10	909803	997038	6	1,2,3,5,6,7	1	1	1	0	1	1	1	0
jlSCF_10	997038	1330840	7	1,2,3,5,6,7,8	1	1	1	0	1	1	1	1
jlSCF_10	1330840	1350382	6	1,2,5,6,7,8	1	1	0	0	1	1	1	1
jlSCF_10	1350382	1496745	5	1,2,5,6,8	1	1	0	0	1	1	0	1
jlSCF_10	1496745	1497231	6	1,2,5,6,7,8	1	1	0	0	1	1	1	1
jlSCF_10	1497231	1543778	7	1,2,4,5,6,7,8	1	1	0	1	1	1	1	1
jlSCF_10	1543778	1712286	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_10	1712286	1734650	7	1,2,3,4,5,7,8	1	1	1	1	1	0	1	1
jlSCF_10	1734650	1745493	6	1,2,4,5,7,8	1	1	0	1	1	0	1	1
jlSCF_10	1745493	1747735	5	2,4,5,7,8	0	1	0	1	1	0	1	1
jlSCF_10	1747735	1757693	4	2,4,5,8	0	1	0	1	1	0	0	1
jlSCF_10	1757693	1852309	3	2,4,5	0	1	0	1	1	0	0	0
jlSCF_10	1852309	1878652	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_10	1878652	1879189	1	2	0	1	0	0	0	0	0	0
jlSCF_10	1879189	2149147	2	2,7	0	1	0	0	0	0	1	0
jlSCF_10	2149147	2183014	1	2	0	1	0	0	0	0	0	0
jlSCF_10	2183014	2318767	2	2,7	0	1	0	0	0	0	1	0
jlSCF_10	2318767	2487029	5	2,4,6,7,8	0	1	0	1	0	1	1	1
jlSCF_10	2487029	2736964	6	2,4,5,6,7,8	0	1	0	1	1	1	1	1
jlSCF_10	2736964	3063226	5	2,4,6,7,8	0	1	0	1	0	1	1	1
jlSCF_10	3063226	3071717	6	1,2,4,6,7,8	1	1	0	1	0	1	1	1
jlSCF_10	3071717	3113600	7	1,2,4,5,6,7,8	1	1	0	1	1	1	1	1
jlSCF_10	3113600	3216096	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_10	3216096	3411339	6	1,2,3,4,5,7	1	1	1	1	1	0	1	0
jlSCF_10	3411339	3447902	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_10	3447902	3588800	7	1,3,4,5,6,7,8	1	0	1	1	1	1	1	1
jlSCF_10	3588800	3815704	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_10	3815704	3842271	4	2,4,6,7	0	1	0	1	0	1	1	0
jlSCF_10	3842271	3942286	3	4,6,7	0	0	0	1	0	1	1	0
jlSCF_10	3942286	3996092	4	1,4,6,7	1	0	0	1	0	1	1	0
jlSCF_10	3996092	4178476	5	1,4,5,6,7	1	0	0	1	1	1	1	0
jlSCF_10	4178476	4198531	4	1,5,6,7	1	0	0	0	1	1	1	0
jlSCF_10	4198531	4207338	3	1,6,7	1	0	0	0	0	1	1	0
jlSCF_10	4207338	4209563	2	6,7	0	0	0	0	0	1	1	0
jlSCF_10	4209563	4727850	1	6	0	0	0	0	0	1	0	0
jlSCF_10	4727850	4779665	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_10	4779665	4794421	3	3,5,6	0	0	1	0	1	1	0	0
jlSCF_10	4794421	5097899	1	6	0	0	0	0	0	1	0	0
jlSCF_10	7528364	7549638	1	6	0	0	0	0	0	1	0	0
jlSCF_10	7549638	7743039	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_10	7743039	7893814	1	6	0	0	0	0	0	1	0	0
jlSCF_10	7893814	7944145	4	2,3,4,6	0	1	1	1	0	1	0	0
jlSCF_10	7944145	8252427	1	6	0	0	0	0	0	1	0	0
jlSCF_10	10072560	10127638	1	6	0	0	0	0	0	1	0	0
jlSCF_10	10239670	10321413	1	2	0	1	0	0	0	0	0	0
jlSCF_10	10678725	10689575	1	8	0	0	0	0	0	0	0	1
jlSCF_10	10822808	10866636	1	2	0	1	0	0	0	0	0	0
jlSCF_10	10866636	10873219	2	2,5	0	1	0	0	1	0	0	0
jlSCF_10	10873219	10952782	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_10	11203598	11396065	1	2	0	1	0	0	0	0	0	0
jlSCF_10	12871613	12901850	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_10	17177896	17206107	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_10	17206107	17209908	1	3	0	0	1	0	0	0	0	0
jlSCF_10	17280789	17298590	5	1,2,3,4,8	1	1	1	1	0	0	0	1
jlSCF_10	17395229	17461401	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_10	17461401	17470630	4	1,2,3,8	1	1	1	0	0	0	0	1
jlSCF_10	17501997	17521454	3	1,2,8	1	1	0	0	0	0	0	1
jlSCF_11	1403814	1407708	1	5	0	0	0	0	1	0	0	0
jlSCF_11	1517194	1547959	1	7	0	0	0	0	0	0	1	0
jlSCF_11	1733312	1770927	1	1	1	0	0	0	0	0	0	0
jlSCF_11	1770927	2036483	2	1,7	1	0	0	0	0	0	1	0
jlSCF_11	2036483	2054709	1	1	1	0	0	0	0	0	0	0
jlSCF_11	2054709	2065494	2	1,8	1	0	0	0	0	0	0	1
jlSCF_11	2065494	2231465	3	1,7,8	1	0	0	0	0	0	1	1
jlSCF_11	2231465	2337262	2	1,8	1	0	0	0	0	0	0	1
jlSCF_11	2337262	2430954	1	1	1	0	0	0	0	0	0	0
